ID,region,locality,sites,Age_MPA,Class,lat,lon,biomassarea,biomassarea1,biomassarea2,grav_total,ModelMode,FE_Fish,Larval_behaviour,LocalRet,Indegree,Outdegree,Btw
V4343,sw_pacific,central_gbr,central_gbr_21,15,Closed,-19.7987,149.0719,989.3920578,894.643504,894.643504,2.434943659,pare ,pare ,passive,0,127,206,4042.929007
V4488,sw_pacific,central_gbr,central_gbr_9,15,Closed,-18.1358,146.2799,867.8087509,148.176814,148.176814,6.667953172,pare ,pare ,passive,0,36,89,1782.049369
V4552,sw_pacific,queensland_(other),queensland_(other)_1,15,Restricted,-22.3794,152.54,380.6582295,225.7904506,330.1771285,0.762055417,pare ,pare ,passive,0,150,57,3340.885251
V4579,sw_pacific,capricorn_group,capricorn_group_8,15,Closed,-23.2148,151.9286,761.8801232,540.8430757,713.8596924,3.261797926,pare ,pare ,passive,0,51,71,758.146457
V4582,sw_pacific,capricorn_group,capricorn_group_6,15,Restricted,-23.2781,151.727,368.3250452,312.677658,312.677658,4.218634727,pare ,pare ,passive,0,140,62,699.7600752
V4594,sw_pacific,capricorn_group,capricorn_group_4,15,Restricted,-23.5191,151.7587,354.3719501,268.5863302,268.5863302,6.779172882,pare ,pare ,passive,0,113,68,2442.545276
V4620,sw_pacific,capricorn_group,capricorn_group_2,15,Closed,-23.8806,152.3847,257.4690763,241.3003285,241.3003285,7.461503311,pare ,pare ,passive,0,217,134,5548.953726
V4912,sw_pacific,central_gbr,central_gbr_2,15,Closed,-16.566,145.9812,361.0823777,337.0801062,337.0801062,7.410903311,pare ,pare ,passive,0,460,191,20488.16778
V4918,sw_pacific,central_gbr,central_gbr_3,15,Restricted,-16.8886,146.1918,492.7696994,440.9014478,440.9014478,6.858620512,pare ,pare ,passive,0,349,140,12237.82837
V4921,sw_pacific,central_gbr,central_gbr_5,15,Restricted,-16.7592,146.2678,943.5466871,803.1217673,803.1217673,5.027961459,pare ,pare ,passive,1,220,163,3986.153624
V4922,sw_pacific,central_gbr,central_gbr_24,15,Closed,-17.5199,146.5018,1418.726831,1250.382857,1250.382857,5.169381462,pare ,pare ,passive,1,420,145,17104.49717
V4957,sw_pacific,central_gbr,central_gbr_11,15,Restricted,-17.7721,146.4497,888.5685044,734.7927889,857.4129712,5.584992654,pare ,pare ,passive,1,307,148,9930.086336
V4994,sw_pacific,central_gbr,central_gbr_18,15,Closed,-18.4048,147.447,836.7006672,85.84672413,85.84672413,1.947964267,pare ,pare ,passive,0,229,239,5471.54463
V5037,sw_pacific,central_gbr,central_gbr_19,15,Closed,-18.2662,147.38,173.5811921,91.16645409,91.16645409,1.770948976,pare ,pare ,passive,0,654,129,13368.97315
V5064,sw_pacific,central_gbr,central_gbr_13,15,Restricted,-20.0661,148.9025,541.5278457,452.9310057,452.9310057,19.4375289,pare ,pare ,passive,0,194,174,33978.31913
V5074,sw_pacific,central_gbr,central_gbr_1,15,Restricted,-16.945,145.9921,160.8062968,158.5178339,158.5178339,12.60558979,pare ,pare ,passive,0,0,0,0
V5088,sw_pacific,southern_coral_sea,southern_coral_sea_6,7,Closed,-21.8959,153.5603,423.9418597,239.8638264,385.2850764,0.294881999,pare ,pare ,passive,0,28,22,4800.853338
V5092,central_iwp,north_west_shelf,north_west_shelf_14,0,Fished,-19.5835,119.1098,836.7968793,756.0893979,811.4158054,0.232631494,pare ,pare ,passive,1,43,14,26272.88309
V5093,central_iwp,north_west_shelf,north_west_shelf_15,0,Fished,-20.2514,118.5037,238.9128228,151.6270856,151.6270856,2.403824183,pare ,pare ,passive,1,33,26,4582.949306
V5094,central_iwp,north_west_shelf,north_west_shelf_29,8,Restricted,-20.9485,115.4645,1225.79162,1026.654349,1026.654349,0.46444822,pare ,pare ,passive,1,31,15,9030.293841
V5096,central_iwp,north_west_shelf,north_west_shelf_3,0,Fished,-11.9749,123.355,508.0055613,279.2302203,291.083762,3.418996678,pare ,pare ,passive,2,36,18,18787.25156
V5113,central_iwp,north_west_shelf,north_west_shelf_4,15,Closed,-12.2368,122.9918,358.4254893,244.1789467,272.1475219,2.633623586,pare ,pare ,passive,6,46,9,225430.7661
V5125,central_iwp,north_west_shelf,north_west_shelf_7,0,Fished,-14.0764,121.7593,2584.122501,1120.488696,2381.405902,0.083356792,pare ,pare ,passive,0,36,10,200530.484
V5133,central_iwp,north_west_shelf,north_west_shelf_6,0,Fished,-14.1017,121.956,1155.659419,883.4687268,905.621734,0.085699037,pare ,pare ,passive,0,31,13,26125.23148
V5170,central_iwp,north_west_shelf,north_west_shelf_12,8,Closed,-17.2478,119.3529,1449.465548,1135.330832,1255.958742,0.033512591,pare ,pare ,passive,0,0,3,0
V5172,central_iwp,north_west_shelf,north_west_shelf_13,8,Closed,-17.3025,119.369,745.6782958,718.5532704,718.5532704,0.03318512,pare ,pare ,passive,0,2,0,0
V5176,central_iwp,north_west_shelf,north_west_shelf_9,8,Closed,-17.5047,118.9646,718.5141115,657.5056165,657.5056165,0.033225845,pare ,pare ,passive,0,0,1,0
V5177,central_iwp,north_west_shelf,north_west_shelf_8,8,Closed,-17.5755,118.9652,775.717854,681.0409077,710.8852986,0.034434825,pare ,pare ,passive,0,2,0,0
V5178,central_iwp,north_west_shelf,north_west_shelf_11,7,Restricted,-17.0688,119.6395,985.0307788,825.9482923,888.0273337,0.028153337,pare ,pare ,passive,0,1,0,0
V5179,central_iwp,north_west_shelf,north_west_shelf_10,7,Restricted,-17.1415,119.6319,509.6405955,416.0426107,416.0426107,0.029268342,pare ,pare ,passive,0,0,6,0
V5181,central_iwp,north_west_shelf,north_west_shelf_25,8,Closed,-20.3852,115.537,693.9723971,539.5973887,560.843341,0.168201547,pare ,pare ,passive,0,0,3,0
V5192,central_iwp,north_west_shelf,north_west_shelf_27,8,Restricted,-20.5791,115.5766,851.4529731,710.9825378,710.9825378,0.287284105,pare ,pare ,passive,0,0,0,0
V5195,central_iwp,north_west_shelf,north_west_shelf_31,0,Fished,-21.321,115.1727,740.0527824,660.8353122,660.8353122,0.239803797,pare ,pare ,passive,0,2,0,0
V5197,central_iwp,ningaloo_marine_park,ningaloo_marine_park_6,14,Closed,-21.6542,114.3452,1311.533728,1013.202175,1013.202175,0.425913702,pare ,pare ,passive,0,0,0,0
V5208,central_iwp,ningaloo_marine_park,ningaloo_marine_park_1,14,Closed,-21.933,113.9391,284.3157945,220.3541817,283.5940086,1.401245511,pare ,pare ,passive,2,13,58,441.9346867
V5210,central_iwp,ningaloo_marine_park,ningaloo_marine_park_3,14,Closed,-23.1219,113.7572,415.6775372,376.3201712,393.096918,0.435877297,pare ,pare ,passive,3,13,67,2400.932194
V5211,central_iwp,ningaloo_marine_park,ningaloo_marine_park_8,14,Closed,-22.8989,113.7719,399.8134586,356.3856899,373.7294084,0.460141554,pare ,pare ,passive,1,12,33,309845.3479
