"","From","To","Prob"
"179070","V1422","V1272",4
"179071","V1423","V1272",5
"179072","V1424","V1272",15
"179073","V1425","V1272",7
"179075","V1427","V1272",1
"179076","V1428","V1272",2
"179078","V1430","V1272",2
"179079","V1431","V1272",11
"179080","V1432","V1272",2
"179081","V1433","V1272",5
"179082","V1434","V1272",3
"179083","V1435","V1272",3
"179084","V1436","V1272",2
"179085","V1437","V1272",9
"179086","V1438","V1272",7
"179087","V1439","V1272",2
"179088","V1440","V1272",7
"179089","V1441","V1272",2
"179090","V1442","V1272",8
"179091","V1443","V1272",4
"179092","V1444","V1272",8
"179093","V1445","V1272",3
"179094","V1446","V1272",5
"179095","V1447","V1272",2
"179096","V1448","V1272",4
"179097","V1449","V1272",3
"179098","V1450","V1272",1
"179099","V1451","V1272",1
"179100","V1452","V1272",5
"179101","V1453","V1272",3
"179102","V1454","V1272",4
"179103","V1455","V1272",8
"179104","V1456","V1272",2
"179105","V1457","V1272",4
"179106","V1458","V1272",4
"179108","V1460","V1272",1
"179109","V1461","V1272",2
"179110","V1462","V1272",2
"179111","V1463","V1272",3
"179112","V1464","V1272",4
"179114","V1466","V1272",1
"179115","V1467","V1272",10
"179117","V1469","V1272",3
"179119","V1471","V1272",2
"179120","V1472","V1272",2
"179121","V1473","V1272",3
"179122","V1474","V1272",1
"179123","V1475","V1272",3
"179124","V1476","V1272",3
"179125","V1477","V1272",3
"179126","V1478","V1272",6
"179127","V1479","V1272",1
"179129","V1481","V1272",5
"179130","V1482","V1272",4
"179131","V1483","V1272",3
"179133","V1485","V1272",1
"179134","V1486","V1272",2
"179156","V1508","V1272",1
"179158","V1510","V1272",1
"179162","V1514","V1272",2
"179163","V1515","V1272",2
"179170","V1522","V1272",6
"179173","V1525","V1272",4
"179174","V1526","V1272",4
"179175","V1527","V1272",1
"179177","V1529","V1272",6
"179178","V1530","V1272",1
"179181","V1533","V1272",7
"179182","V1534","V1272",2
"179184","V1536","V1272",3
"179185","V1537","V1272",1
"179186","V1538","V1272",6
"179187","V1539","V1272",3
"179188","V1540","V1272",5
"179189","V1541","V1272",8
"179192","V1544","V1272",2
"179193","V1545","V1272",1
"179194","V1546","V1272",1
"179197","V1549","V1272",1
"179199","V1551","V1272",2
"179206","V1558","V1272",4
"179207","V1559","V1272",1
"179209","V1561","V1272",10
"179210","V1562","V1272",1
"179211","V1563","V1272",2
"179212","V1564","V1272",3
"179213","V1565","V1272",2
"179214","V1566","V1272",1
"179217","V1569","V1272",6
"179218","V1570","V1272",11
"179219","V1571","V1272",1
"179221","V1573","V1272",1
"179222","V1574","V1272",1
"179223","V1575","V1272",2
"179225","V1577","V1272",4
"179230","V1582","V1272",1
"179231","V1583","V1272",4
"179233","V1585","V1272",2
"179234","V1586","V1272",12
"179236","V1588","V1272",5
"179238","V1590","V1272",1
"179239","V1591","V1272",7
"179240","V1592","V1272",4
"179241","V1593","V1272",9
"179242","V1594","V1272",9
"179243","V1595","V1272",4
"179244","V1596","V1272",7
"179245","V1597","V1272",8
"179246","V1598","V1272",16
"179247","V1599","V1272",7
"179248","V1600","V1272",4
"179249","V1601","V1272",10
"179250","V1602","V1272",9
"179251","V1603","V1272",11
"179252","V1604","V1272",6
"179253","V1605","V1272",7
