"","From","To","Prob"
"386770","V1866","V1823",15
"386771","V1867","V1823",15
"386772","V1868","V1823",30
"386773","V1869","V1823",15
"386775","V1871","V1823",20
"386776","V1872","V1823",15
"386779","V1875","V1823",15
"386781","V1877","V1823",15
"386786","V1882","V1823",35
"386787","V1883","V1823",35
"386791","V1887","V1823",35
"386799","V1895","V1823",20
"386800","V1896","V1823",20
"386805","V1901","V1823",15
"386807","V1903","V1823",20
"386809","V1905","V1823",15
"386810","V1906","V1823",15
"386812","V1908","V1823",20
"386815","V1911","V1823",25
"386820","V1916","V1823",20
"386821","V1917","V1823",25
"386824","V1920","V1823",15
"386825","V1921","V1823",20
"386834","V1930","V1823",20
"386841","V1937","V1823",15
"386843","V1939","V1823",15
"386867","V1963","V1823",15
"386901","V1997","V1823",15
"386906","V2002","V1823",15
"386963","V2059","V1823",15
"386973","V2069","V1823",20
"386999","V2095","V1823",15
"387009","V2105","V1823",15
"387083","V2179","V1823",15
"387085","V2181","V1823",15
"387086","V2182","V1823",15
"387093","V2189","V1823",20
"387101","V2197","V1823",15
"387129","V2225","V1823",15
"387132","V2228","V1823",15
"387137","V2233","V1823",20
"387143","V2239","V1823",15
"387201","V2297","V1823",15
"387221","V2317","V1823",25
"387223","V2319","V1823",15
"387225","V2321","V1823",15
"387240","V2336","V1823",30
"387250","V2346","V1823",20
"387290","V2386","V1823",20
"387299","V2395","V1823",45
"387303","V2399","V1823",15
"387306","V2402","V1823",25
"387319","V2415","V1823",15
"387414","V2510","V1823",15
"387417","V2513","V1823",15
"387425","V2521","V1823",15
"387427","V2523","V1823",15
"387435","V2531","V1823",15
"401168","V1460","V1864",15
"401239","V1531","V1864",15
"401317","V1609","V1864",15
"401381","V1673","V1864",15
"401460","V1752","V1864",15
"401527","V1819","V1864",15
"401577","V1869","V1864",20
"401593","V1885","V1864",15
"401598","V1890","V1864",15
"401686","V1978","V1864",15
"401694","V1986","V1864",15
"401786","V2078","V1864",15
"402115","V2407","V1864",15
"402248","V2540","V1864",15
"410499","V10791","V1864",15
"416035","V1523","V1875",30
