ID,Id2,Lon,Lat,SOVEREIGN1,DESIG_ENG,IUCN_CAT,NO_TAKE,Class,General
V342,339,97.4,2.14,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V343,340,96.6,2.22,Indonesia,,,,Fished,Fished
V344,341,97.08,2.14,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V345,342,97.08,2.06,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V346,343,98.12,2.14,Indonesia,,,,Fished,Fished
V347,344,97.24,2.14,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V348,345,97.88,2.14,Indonesia,,,,Fished,Fished
V349,346,97.96,2.14,Indonesia,,,,Fished,Fished
V350,347,97.4,1.66,Indonesia,,,,Fished,Fished
V351,348,98.04,1.74,Indonesia,,,,Fished,Fished
V352,349,98.44,1.74,Indonesia,,,,Fished,Fished
V353,350,98.52,1.58,,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V354,351,97.48,1.74,Indonesia,,,,Fished,Fished
V355,352,97.4,1.74,Indonesia,,,,Fished,Fished
V356,353,98.04,1.66,Indonesia,,,,Fished,Fished
V357,354,97.96,1.9,Indonesia,,,,Fished,Fished
V358,355,98.04,1.9,Indonesia,,,,Fished,Fished
V359,356,98.52,1.82,Indonesia,,,,Fished,Fished
V360,357,97.48,1.98,Indonesia,,,,Fished,Fished
V361,358,97.96,1.98,Indonesia,,,,Fished,Fished
V362,359,97.4,1.9,Indonesia,,,,Fished,Fished
V363,360,98.12,1.9,Indonesia,,,,Fished,Fished
V364,361,98.12,1.74,Indonesia,,,,Fished,Fished
V365,362,97.96,1.74,Indonesia,,,,Fished,Fished
V366,363,98.2,1.74,Indonesia,,,,Fished,Fished
V367,364,98.68,1.74,,,,,Fished,Fished
V368,365,97.96,1.82,Indonesia,,,,Fished,Fished
V369,366,98.12,1.82,Indonesia,,,,Fished,Fished
V370,367,98.6,1.82,Indonesia,,,,Fished,Fished
V371,368,98.2,1.82,Indonesia,,,,Fished,Fished
V372,369,98.28,1.34,Indonesia,,,,Fished,Fished
V373,370,98.36,1.34,Indonesia,,,,Fished,Fished
V374,371,97.08,1.34,Indonesia,,,,Fished,Fished
V375,372,98.36,1.42,Indonesia,,,,Fished,Fished
V376,373,97.56,1.42,Indonesia,,,,Fished,Fished
V377,374,97.08,1.26,Indonesia,,,,Fished,Fished
V378,375,97.08,1.18,Indonesia,,,,Fished,Fished
V379,376,98.28,1.18,Indonesia,,,,Fished,Fished
V380,377,97.24,1.18,Indonesia,,,,Fished,Fished
V381,378,98.28,1.26,Indonesia,,,,Fished,Fished
V382,379,98.44,1.34,Indonesia,,,,Fished,Fished
V383,380,97.24,1.26,Indonesia,,,,Fished,Fished
V384,381,98.44,1.26,Indonesia,,,,Fished,Fished
V385,382,98.28,1.5,Indonesia,,,,Fished,Fished
V386,383,98.2,1.58,Indonesia,,,,Fished,Fished
V387,384,98.28,1.58,Indonesia,,,,Fished,Fished
V388,385,98.68,1.58,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V389,386,98.28,1.42,Indonesia,,,,Fished,Fished
V390,387,98.12,1.5,Indonesia,,,,Fished,Fished
V391,388,97.32,1.58,Indonesia,,,,Fished,Fished
V392,389,98.44,1.5,Indonesia,,,,Fished,Fished
V393,390,98.36,1.5,Indonesia,,,,Fished,Fished
V394,391,97.4,0.78,Indonesia,,,,Fished,Fished
V395,392,97.32,0.78,Indonesia,,,,Fished,Fished
V396,393,98.04,0.78,Indonesia,,,,Fished,Fished
V397,394,97.24,0.86,Indonesia,,,,Fished,Fished
V398,395,98.04,0.86,Indonesia,,,,Fished,Fished
V399,396,98.28,0.86,Indonesia,,,,Fished,Fished
V400,397,98.28,0.78,Indonesia,,,,Fished,Fished
V401,398,97.72,0.54,Indonesia,,,,Fished,Fished
V402,399,97.88,0.54,Indonesia,,,,Fished,Fished
V403,400,97.96,0.62,Indonesia,,,,Fished,Fished
V404,401,97.96,0.7,Indonesia,,,,Fished,Fished
V405,402,97.96,1.1,Indonesia,,,,Fished,Fished
V406,403,98.28,1.1,Indonesia,,,,Fished,Fished
V407,404,98.28,1.02,Indonesia,,,,Fished,Fished
V408,405,98.36,1.02,Indonesia,,,,Fished,Fished
V409,406,98.36,1.18,Indonesia,,,,Fished,Fished
V410,407,98.44,1.18,Indonesia,,,,Fished,Fished
V411,408,98.04,0.94,Indonesia,,,,Fished,Fished
V412,409,98.28,0.94,Indonesia,,,,Fished,Fished
V413,410,97.24,0.94,Indonesia,,,,Fished,Fished
V414,411,97.08,2.22,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V415,412,98.44,1.66,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V416,413,97.24,2.06,Indonesia,Nature Recreation Park,Ia,Part,Closed,MPA
V417,414,98.2,0.06,Indonesia,,,,Fished,Fished
V418,415,97.88,0.06,Indonesia,,,,Fished,Fished
V419,416,98.2,-0.18,Indonesia,,,,Fished,Fished
V420,417,97.88,-0.18,Indonesia,,,,Fished,Fished
V421,418,98.28,-0.18,Indonesia,,,,Fished,Fished
V422,419,97.8,-0.1,Indonesia,,,,Fished,Fished
V423,420,98.2,-0.1,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V424,421,97.88,0.3,Indonesia,,,,Fished,Fished
V425,422,97.88,0.38,Indonesia,,,,Fished,Fished
V426,423,98.28,-0.5,Indonesia,,,,Fished,Fished
V427,424,99.96,-0.66,Indonesia,,,,Fished,Fished
V428,425,99.88,-0.66,Indonesia,,,,Fished,Fished
V429,426,100.28,-0.82,Indonesia,,,,Fished,Fished
V430,426,100.28,-0.82,Indonesia,,,,Fished,Fished
V431,427,100.04,-0.74,Indonesia,,,,Fished,Fished
V432,428,102.12,-3.86,Indonesia,,,,Fished,Fished
V433,429,102.2,-3.94,Indonesia,,,,Fished,Fished
V434,430,102.12,-3.78,Indonesia,,,,Fished,Fished
V435,431,99,0.54,Indonesia,,,,Fished,Fished
V436,432,98.76,0.78,Indonesia,,,,Fished,Fished
V437,433,98.84,0.3,Indonesia,,,,Fished,Fished
V438,434,98.84,0.38,Indonesia,,,,Fished,Fished
V439,435,99,0.14,Indonesia,,,,Fished,Fished
V440,436,99,-0.18,Indonesia,,,,Fished,Fished
V441,437,99.4,-0.1,Indonesia,,,,Fished,Fished
V442,438,99,0.3,Indonesia,,,,Fished,Fished
V443,439,98.52,0.3,Indonesia,,,,Fished,Fished
V444,440,100.52,-1.46,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V445,441,100.6,-1.78,Indonesia,Locally Managed Marine Area,VI,Not Reported,Restricted,MPA
V446,442,100.28,-0.98,Indonesia,,,,Fished,Fished
V447,443,99.96,-0.9,Indonesia,,,,Fished,Fished
V448,444,100.36,-1.3,Indonesia,,,,Fished,Fished
V449,445,100.52,-3.06,Indonesia,,,,Fished,Fished
