pare5in,pare5out,pare5LR,crypto5in,crypto5out,crypto5LR,transi15in,transi15out,transi15LR,resid15in,resid15out,resid15LR
20.87912088,76.92307692,2.197802198,27.48538012,71.92982456,0.584795322,22.97297297,77.02702703,0,23.91304348,76.08695652,0
25.32188841,23.17596567,51.50214592,43.88059701,34.62686567,21.49253731,47.65100671,26.17449664,26.17449664,59.94236311,35.44668588,4.610951009
18.8976378,44.88188976,36.22047244,27.31707317,60.97560976,11.70731707,45.83333333,54.16666667,0,30.15873016,68.78306878,1.058201058
20.89552239,79.10447761,0,17.85714286,82.14285714,0,16.66666667,83.33333333,0,8.965517241,91.03448276,0
46.49122807,44.73684211,8.771929825,58.23293173,38.55421687,3.212851406,61.26760563,23.94366197,14.78873239,60.92715232,37.08609272,1.986754967
32.58426966,67.41573034,0,28.48484848,71.51515152,0,60,40,0,31.9047619,67.61904762,0.476190476
31.48148148,68.51851852,0,28.57142857,71.42857143,0,7.407407407,92.59259259,0,17.77777778,82.22222222,0
31.16883117,68.83116883,0,26.98412698,73.01587302,0,11.11111111,88.88888889,0,9.022556391,90.97744361,0
18.26086957,10.43478261,71.30434783,17.70833333,12.5,69.79166667,23.1884058,11.5942029,65.2173913,26.82926829,27.64227642,45.52845528
47.27272727,52.72727273,0,60.91954023,35.63218391,3.448275862,60.86956522,33.91304348,5.217391304,62.5,34.22619048,3.273809524
25.73529412,34.55882353,39.70588235,38.02083333,48.4375,13.54166667,52.83018868,47.16981132,0,48.81516588,50.71090047,0.473933649
29.48717949,70.51282051,0,21.58273381,78.41726619,0,9.375,90.625,0,10.06289308,84.90566038,5.031446541
48.03921569,51.96078431,0,63.92405063,31.64556962,4.430379747,65.06024096,20.48192771,14.45783133,66,30.25,3.75
41.17647059,58.82352941,0,29.45205479,70.54794521,0,35.48387097,64.51612903,0,27.60736196,72.39263804,0
20,80,0,31.90184049,68.09815951,0,38.46153846,61.53846154,0,28.78787879,71.21212121,0
56.98924731,43.01075269,0,67.13286713,30.76923077,2.097902098,85,12.5,2.5,68.14159292,29.20353982,2.654867257
39.28571429,60.71428571,0,52.53456221,47.46543779,0,64.9122807,35.0877193,0,43.15352697,56.01659751,0.829875519
48.67256637,51.32743363,0,57.32484076,42.3566879,0.318471338,71.90082645,28.09917355,0,62.53369272,37.46630728,0
14.9122807,64.03508772,21.05263158,14.60674157,73.59550562,11.79775281,14.63414634,85.36585366,0,16.36363636,81.21212121,2.424242424
36.11111111,63.88888889,0,27.16049383,35.80246914,37.03703704,11.11111111,88.88888889,0,48.14814815,50,1.851851852
27.41935484,72.58064516,0,25.78125,74.21875,0,17.39130435,82.60869565,0,15.87301587,84.12698413,0
17.69230769,28.46153846,53.84615385,22.75449102,50.89820359,26.34730539,0,100,0,22.83464567,77.16535433,0
9.230769231,90.76923077,0,12.80487805,86.58536585,0.609756098,25,75,0,22.87234043,76.59574468,0.531914894
29.8245614,70.1754386,0,33.88888889,66.11111111,0,64.1025641,35.8974359,0,43.17180617,56.82819383,0
25,75,0,38.23529412,61.76470588,0,69.44444444,30.55555556,0,34.09090909,65.90909091,0
35,65,0,36.12903226,63.87096774,0,48,52,0,36.81318681,63.18681319,0
43.33333333,48.33333333,8.333333333,42.32804233,55.55555556,2.116402116,22.72727273,68.18181818,9.090909091,40.6504065,51.2195122,8.130081301
50.41322314,42.97520661,6.611570248,46.6367713,41.25560538,12.10762332,50.66666667,49.33333333,0,53.4375,38.75,7.8125
23.59550562,24.71910112,51.68539326,32.7510917,44.10480349,23.1441048,23.91304348,76.08695652,0,42.42424242,48.48484848,9.090909091
19.91701245,21.99170124,58.09128631,24.25373134,36.94029851,38.80597015,14.51612903,85.48387097,0,37.88546256,59.030837,3.083700441
33.33333333,66.66666667,0,25,71.66666667,3.333333333,23.07692308,76.92307692,0,20.45454545,76.13636364,3.409090909
21.95121951,23.41463415,54.63414634,27.09923664,33.58778626,39.3129771,4,96,0,37.03703704,62.96296296,0
56.47058824,43.52941176,0,44.84536082,55.15463918,0,40.35087719,59.64912281,0,49.10714286,50.89285714,0
48.45360825,47.42268041,4.12371134,47.12643678,48.85057471,4.022988506,47.27272727,52.72727273,0,55.07246377,39.61352657,5.314009662
57.94392523,42.05607477,0,49.31506849,45.20547945,5.479452055,50,50,0,60.61776062,38.61003861,0.772200772
49.57983193,50.42016807,0,44.11764706,36.02941176,19.85294118,50.90909091,49.09090909,0,63.36996337,32.96703297,3.663003663
30.58252427,26.69902913,42.7184466,38.1270903,35.78595318,26.08695652,39.13043478,60.86956522,0,58.52713178,41.47286822,0
40,32.8,27.2,45.83333333,37.96296296,16.2037037,7.894736842,92.10526316,0,48.80382775,51.19617225,0
45.67901235,54.32098765,0,38.54748603,61.45251397,0,27.90697674,72.09302326,0,36.26373626,63.73626374,0
39.04761905,43.80952381,17.14285714,38.21989529,55.4973822,6.282722513,35.71428571,64.28571429,0,41.88481675,55.4973822,2.617801047
38.83495146,35.9223301,25.24271845,32.88288288,40.54054054,26.57657658,19.35483871,80.64516129,0,43.56435644,52.97029703,3.465346535
33.33333333,66.66666667,0,22.61904762,60.71428571,16.66666667,18.18181818,81.81818182,0,23.40425532,74.46808511,2.127659574
34.64566929,41.73228346,23.62204724,38.34951456,47.57281553,14.0776699,55.17241379,44.82758621,0,51.63043478,48.36956522,0
30.86419753,69.13580247,0,25.1572327,67.9245283,6.918238994,6.349206349,93.65079365,0,24.3902439,75.6097561,0
37.28813559,62.71186441,0,30.34482759,69.65517241,0,33.33333333,66.66666667,0,27.5862069,71.72413793,0.689655172
45.12195122,54.87804878,0,30.28169014,69.71830986,0,12.72727273,76.36363636,10.90909091,22.87581699,74.50980392,2.614379085
38.37209302,54.65116279,6.976744186,33.9869281,65.35947712,0.653594771,37.03703704,62.96296296,0,27.38095238,68.45238095,4.166666667
30.58823529,69.41176471,0,33.67346939,53.06122449,13.26530612,27.86885246,72.13114754,0,42.02898551,57.97101449,0
45.36082474,52.57731959,2.06185567,40.11627907,59.88372093,0,37.20930233,62.79069767,0,44.14893617,55.85106383,0
23.74100719,44.60431655,31.65467626,25.625,62.5,11.875,6.666666667,93.33333333,0,17.15976331,82.84023669,0
37.11340206,52.57731959,10.30927835,35.02824859,62.71186441,2.259887006,40,60,0,34.59459459,65.40540541,0
